,text,title
0,回放CCTV2的消费主张,TVProgram-Play
1,给我打开玩具房的灯,HomeAppliance-Control
2,循环播放赵本山的小品相亲来听,Audio-Play
3,15号上午10点带孩子去海洋馆的行程帮我制定下。,Alarm-Update
4,把智能扫地机器人关掉,HomeAppliance-Control
5,帮我续播16集摩天大楼,FilmTele-Play
6,放美国电影史密斯夫妇给我看,FilmTele-Play
7,放刘禹锡的浪淘沙来听,Music-Play
8,查看6月6日是农历几月几号,Calendar-Query
9,放一个讲述美食的美国纪录片来看,Video-Play
10,周日上午10点左右陪妈妈逛街的行程提醒我一下。,Alarm-Update
11,刘德华翻唱过的经典老歌都有哪些，尤其是70年代的,FilmTele-Play
12,看一下怎么去仙游有汽车还是火车那个快,Travel-Query
13,非常6+1-2021-20节目想回看一下,TVProgram-Play
14,收听频率是九七点四的中国歌曲排行榜,Radio-Listen
15,明天下午的备忘录请给我全部关闭，不要让它再提醒,Alarm-Update
16,王力宏在重庆开演唱会的视频放来看一下,Video-Play
17,明天紫外线强不强,Weather-Query
18,今儿这风是5级还是7级,Weather-Query
19,发表感言章子怡数次哽咽,FilmTele-Play
20,我想看5月9日兹维列夫对蒂姆的网球比赛视频,Video-Play
21,给我放推理剧的天道可以吗,FilmTele-Play
22,钱塘江最近会不会下大暴雨,Weather-Query
23,提醒我海南气温升高,Alarm-Update
24,刚被联合国封为地球卫士的周迅穿得很低碳,FilmTele-Play
25,我不想睡觉我想聊天说话,Other
26,我想看今天的体育台播了啥，帮我找一下,Video-Play
27,我想看2017年李荣浩和杨丞琳在演唱会上演唱的年轮说的视频,Video-Play
28,我想听邵帅唱的驻马店,Music-Play
29,现在给我建一个日程下午2点去邮局买邮票,Alarm-Update
30,没想到的是严立恒实则与夏友善是同父异母的姐弟,Calendar-Query
31,我把赵英俊的送你一朵小红花下载下来循环播放,Music-Play
32,音乐台的话给我找河南音乐广播,Radio-Listen
33,播放邓紫棋唱歌的视频,Video-Play
34,看一下北京文艺广播的今晚我们说电影还在播不,FilmTele-Play
35,我想看单依纯在为歌而赞唱的如此的纯享版音乐视频,Video-Play
36,我超级想看2020年张大仙王者荣耀录播的游戏视频,Video-Play
37,给我找一下中国电视剧觉醒年代的拍戏花絮,Video-Play
38,白冰冰写给女儿的信中提到四月一四日唉,Music-Play
39,美食纪录片生活如沸给我找一下,Video-Play
40,广州湿度如何,Weather-Query
41,现在请收听频率是一零三点九的路况信息,Radio-Listen
42,冰箱冷冻室温度调成零下19度吧,HomeAppliance-Control
43,赵菲儿的专辑欠我一次旅行播放,Music-Play
44,播放2021年春晚小品开往春天的幸福开车听,Video-Play
45,赶紧给我查查什么节日是7月1日啊,Calendar-Query
46,明天12点的时候请通知我关闭王者荣耀,Alarm-Update
47,气场十足女王头衔当之无愧,FilmTele-Play
48,据悉北京二中院已受理此上诉案,FilmTele-Play
49,GPRS套餐什么时候开始计费,Calendar-Query
50,我想去悉尼歌剧院，请问那趟航班最快。,Travel-Query
51,电影杀死比尔的制片人班内特沃尔什说,FilmTele-Play
52,南昌穿啥衣服好,Weather-Query
53,播一下广播剧犯罪心理第一季,FilmTele-Play
54,黑龙江卫视的新闻在线播放一下实时新闻,Radio-Listen
55,今年的妇女节是什么时候,Calendar-Query
56,我想听孔刘等待的20时,Music-Play
57,我需要知道15点有珠海始发去汕尾的大巴车不,Travel-Query
58,给我循环播放李商隐的夜雨寄北我想听,Music-Play
59,东莞早上七点能下中雨不,FilmTele-Play
60,查询廊坊周日会不会刮风,Weather-Query
61,继续看张铁林的铁齿铜牙纪晓岚吧,FilmTele-Play
62,播放破云广播剧,FilmTele-Play
63,十点钟的蒙面唱将猜猜猜在哪个电视播放？帮我看下,Video-Play
64,乐思购物直播节目是在今天十八点播放吗帮我看下,TVProgram-Play
65,我想听姚博的交通新闻,Radio-Listen
66,查看一下2021年5月26播出的国防故事,Video-Play
67,QQ空间打不开怎么办,Other
68,5月22日下午3点深圳战佛山的kpl春季赛视频快给我放一下,Video-Play
69,可以来播放一会今年的偶像剧吗,FilmTele-Play
70,你给我来一首热血沸腾的歌曲行不行,Music-Play
71,吃立节是什么时候,Calendar-Query
72,我平时不会水呀可这回我却是往大海里闯况且还是在晚上,Other
73,文艺类的天津人民广播电台文艺台收听一下,Radio-Listen
