text,title
回放CCTV2的消费主张,Weather-Query
给我打开玩具房的灯,TVProgram-Play
循环播放赵本山的小品相亲来听,Calendar-Query
15号上午10点带孩子去海洋馆的行程帮我制定下。,Alarm-Update
把智能扫地机器人关掉,Radio-Listen
帮我续播16集摩天大楼,Music-Play
放美国电影史密斯夫妇给我看,Audio-Play
放刘禹锡的浪淘沙来听,Audio-Play
查看6月6日是农历几月几号,Music-Play
放一个讲述美食的美国纪录片来看,Weather-Query
周日上午10点左右陪妈妈逛街的行程提醒我一下。,Weather-Query
刘德华翻唱过的经典老歌都有哪些，尤其是70年代的,HomeAppliance-Control
看一下怎么去仙游有汽车还是火车那个快,HomeAppliance-Control
非常6+1-2021-20节目想回看一下,Radio-Listen
收听频率是九七点四的中国歌曲排行榜,Weather-Query
明天下午的备忘录请给我全部关闭，不要让它再提醒,Alarm-Update
王力宏在重庆开演唱会的视频放来看一下,Travel-Query
明天紫外线强不强,HomeAppliance-Control
今儿这风是5级还是7级,FilmTele-Play
发表感言章子怡数次哽咽,Music-Play
我想看5月9日兹维列夫对蒂姆的网球比赛视频,FilmTele-Play
给我放推理剧的天道可以吗,Radio-Listen
钱塘江最近会不会下大暴雨,FilmTele-Play
提醒我海南气温升高,FilmTele-Play
刚被联合国封为地球卫士的周迅穿得很低碳,HomeAppliance-Control
我不想睡觉我想聊天说话,Video-Play
我想看今天的体育台播了啥，帮我找一下,HomeAppliance-Control
我想看2017年李荣浩和杨丞琳在演唱会上演唱的年轮说的视频,TVProgram-Play
我想听邵帅唱的驻马店,Audio-Play
现在给我建一个日程下午2点去邮局买邮票,Radio-Listen
没想到的是严立恒实则与夏友善是同父异母的姐弟,HomeAppliance-Control
我把赵英俊的送你一朵小红花下载下来循环播放,Video-Play
音乐台的话给我找河南音乐广播,FilmTele-Play
播放邓紫棋唱歌的视频,FilmTele-Play
看一下北京文艺广播的今晚我们说电影还在播不,HomeAppliance-Control
我想看单依纯在为歌而赞唱的如此的纯享版音乐视频,Travel-Query
我超级想看2020年张大仙王者荣耀录播的游戏视频,Alarm-Update
给我找一下中国电视剧觉醒年代的拍戏花絮,Audio-Play
白冰冰写给女儿的信中提到四月一四日唉,Music-Play
美食纪录片生活如沸给我找一下,Music-Play
广州湿度如何,Calendar-Query
现在请收听频率是一零三点九的路况信息,Alarm-Update
冰箱冷冻室温度调成零下19度吧,Video-Play
赵菲儿的专辑欠我一次旅行播放,Weather-Query
播放2021年春晚小品开往春天的幸福开车听,TVProgram-Play
赶紧给我查查什么节日是7月1日啊,Audio-Play
明天12点的时候请通知我关闭王者荣耀,Calendar-Query
气场十足女王头衔当之无愧,TVProgram-Play
据悉北京二中院已受理此上诉案,Travel-Query
GPRS套餐什么时候开始计费,Audio-Play
我想去悉尼歌剧院，请问那趟航班最快。,Weather-Query
电影杀死比尔的制片人班内特沃尔什说,Video-Play
南昌穿啥衣服好,Video-Play
播一下广播剧犯罪心理第一季,Calendar-Query
黑龙江卫视的新闻在线播放一下实时新闻,Radio-Listen
今年的妇女节是什么时候,HomeAppliance-Control
我想听孔刘等待的20时,Video-Play
我需要知道15点有珠海始发去汕尾的大巴车不,Radio-Listen
给我循环播放李商隐的夜雨寄北我想听,HomeAppliance-Control
东莞早上七点能下中雨不,Travel-Query
查询廊坊周日会不会刮风,Music-Play
继续看张铁林的铁齿铜牙纪晓岚吧,Calendar-Query
播放破云广播剧,FilmTele-Play
十点钟的蒙面唱将猜猜猜在哪个电视播放？帮我看下,FilmTele-Play
乐思购物直播节目是在今天十八点播放吗帮我看下,HomeAppliance-Control
我想听姚博的交通新闻,Music-Play
查看一下2021年5月26播出的国防故事,Music-Play
QQ空间打不开怎么办,Weather-Query
5月22日下午3点深圳战佛山的kpl春季赛视频快给我放一下,Audio-Play
可以来播放一会今年的偶像剧吗,HomeAppliance-Control
你给我来一首热血沸腾的歌曲行不行,Calendar-Query
吃立节是什么时候,Other
我平时不会水呀可这回我却是往大海里闯况且还是在晚上,Alarm-Update
文艺类的天津人民广播电台文艺台收听一下,Video-Play
明天有位从韩国进修回来的专家老师过来哦,Other
放一个惊悚小说地狱公寓来听,Travel-Query
查询一下爸爸去哪的相关视频,Other
用安卓市场下载豆瓣阅读,Calendar-Query
随便播一个2021年晚上22点更新的动漫,Travel-Query
据说每天吃一瓣儿新鲜蒜头脸上可保不再见粉刺,FilmTele-Play
重复播放推理小说占星术杀人魔法的第三章,Music-Play
从北京最快通往新疆的飞机是多久,Alarm-Update
单曲循环英文版的吻别呢,Radio-Listen
打开吸尘器，我要打扫卫生,TVProgram-Play
给我续播西游记原著第五十二集听,Video-Play
5月23号的蔚蓝星球纪录片给找下,Music-Play
怎么样自驾车去成都即快又不堵车呢,Other
圣诞除夕分别是星期几,Travel-Query
夏永康表示数年间有很大转变变得越来越性感,HomeAppliance-Control
播放一首张小九的余香听听,FilmTele-Play
把从天坛到北京火车站的步行和骑车路线都给我,Other
提醒我今天下午1点30分上网课的行程。,Alarm-Update
我想你现在就播放一个去年新出的玄幻剧给我看,Music-Play
回放下这个台昨天放的越战越勇,Calendar-Query
给我唱一首2008年的奥运会的主题曲吧,Travel-Query
今天晚上韶关附近有没有东风,Alarm-Update
祭谷神节是什么时候,Calendar-Query
正点财经在哪个频道播出？往期视频回放一下啊,Calendar-Query
请给我播放杜牧的诗词,Calendar-Query
播放四川广播电台的新闻联播,Calendar-Query
我就是不知道手机号码而且家里又只有我的手机,Audio-Play
